transaction_id,customer_id,timestamp,amount,currency,origin_country,destination_country,channel,transaction_type,counterparty_type,is_cross_border,is_cash,device_id,is_flagged,alert_type
TXB358E819-78B,b148b2a6-ea79-47e1-9be7-02abfac08fc4,2025-02-06T23:50:29,67.74,USD,Nigeria,Brazil,Mobile,Transfer,Business,True,False,b148b2a6-dev-3,False,
TXDDD7D585-58F,2d7e4a45-2099-471f-8b65-7bccb0416f19,2025-02-06T23:59:11,5.67,USD,Mozambique,Bahamas,Online,Transfer,Business,True,False,2d7e4a45-dev-2,False,
TXC7FA9306-4A6,235b275b-dcd2-4b97-b3ca-9a6bccd3af7c,2025-02-06T23:59:26,22.68,EUR,Luxembourg,Lithuania,ATM,Transfer,Business,True,False,235b275b-dev-3,False,
TXDF59164A-C84,a335b2c8-9e7b-4e95-b692-641a9aad10ce,2025-02-07T00:00:33,14.53,USD,Lithuania,Lithuania,Online,Transfer,Individual,False,False,a335b2c8-dev-2,False,
TX44A316D9-221,71d79665-7181-4dcf-b79e-fc6e5edb0d3c,2025-02-07T00:02:53,32.68,EUR,Australia,Australia,Online,Deposit,Individual,False,False,71d79665-dev-3,False,
TX01E34E62-809,9b1bc895-2af4-4ab7-9e6f-ea07c4536f1d,2025-02-07T00:05:27,94.2,EUR,France,Slovenia,API,Transfer,Individual,True,False,9b1bc895-dev-1,False,
TX7BD46E83-C1C,1df05d18-4e2d-4255-bd13-1a3d1e2c2e7d,2025-02-07T00:08:30,15.6,EUR,Oman,Oman,Online,Bill Payment,Individual,False,False,1df05d18-dev-1,False,
TX94BE9303-81D,aa604892-3926-42e9-9b58-eb49c9784b52,2025-02-07T00:08:49,13.12,EUR,North Macedonia,North Macedonia,API,Transfer,Individual,False,False,aa604892-dev-1,False,
TXC7E58122-E33,5d42b9e9-692e-47b6-8b2f-6d5c700b5d5f,2025-02-07T00:13:14,27.44,EUR,Bulgaria,Bulgaria,Online,Transfer,Business,False,False,5d42b9e9-dev-1,False,
TXEBC8A454-365,f3402dd3-4515-45b9-ace9-504b03d7f962,2025-02-07T00:16:22,4.6,GBP,Hong Kong SAR,Namibia,ATM,Deposit,Individual,True,False,f3402dd3-dev-1,False,
TXC05B1FFD-C37,7f6485de-7569-4aef-8320-0c4e40cbe188,2025-02-07T00:24:46,8.31,GBP,Guernsey,Australia,Mobile,Deposit,Individual,True,False,7f6485de-dev-1,False,
TX8D9963A6-A8A,42803aa0-55ac-4d06-be9d-a9517329af6e,2025-02-07T00:54:20,8.16,USD,American Samoa,American Samoa,Online,Transfer,Individual,False,False,42803aa0-dev-1,False,
TXB3D81CC9-13F,9780c215-2b2b-48e9-a417-c09380a8a23d,2025-02-07T00:57:12,8.84,EUR,Malawi,Malawi,Online,Transfer,Business,False,False,9780c215-dev-1,False,
TX5A78B8B6-8DF,3f87e362-cf8d-446a-bc2c-bb0ddd334cc7,2025-02-07T01:06:24,8.21,EUR,Peru,Peru,Online,Transfer,Business,False,False,3f87e362-dev-1,False,
TX7A02A2F3-D93,87f8424d-aae6-4fc1-b6f2-dbfecd29a36f,2025-02-07T01:10:39,17.77,USD,China,Cook Islands,Online,Transfer,Individual,True,False,87f8424d-dev-1,False,
TX518579F3-BC4,f84f16b3-a79f-4faf-9ef5-768968f45bce,2025-02-07T01:12:34,59.32,USD,Puerto Rico,United Kingdom,Mobile,Withdrawal,Individual,True,False,f84f16b3-dev-1,False,
TXB75FEE91-E85,310c0c00-3fa7-4104-9bf9-0e27dc96925e,2025-02-07T01:13:01,15.61,EUR,Vanuatu,Vanuatu,Mobile,Transfer,Business,False,False,310c0c00-dev-1,False,
TXED40B869-F15,6afa828c-2cd1-4b9f-abe5-841fe9c96c52,2025-02-07T01:14:02,1.91,EUR,Tanzania,Namibia,Mobile,Payment,Business,True,False,6afa828c-dev-2,False,
TXB572192B-46F,25f88c74-53ea-4919-9b48-62c2d5ff2a1f,2025-02-07T01:21:41,26.78,USD,Estonia,Estonia,Mobile,Transfer,Individual,False,False,25f88c74-dev-3,False,
TX99371807-3D1,c1e1b94a-7888-4058-a9ad-0e9b8c9aa1e9,2025-02-07T01:24:31,3.64,EUR,New Zealand,New Zealand,Online,Transfer,Business,False,False,c1e1b94a-dev-1,False,
TX71534A0A-29D,29ede760-2334-48ba-b94e-08387dcf60fd,2025-02-07T01:24:49,8.28,EUR,Spain,Spain,API,Transfer,Individual,False,False,29ede760-dev-2,False,
TX48E38018-CC4,e00da49d-effa-4002-b040-413c4690fb15,2025-02-07T01:28:29,11.66,EUR,San Marino,San Marino,Mobile,Transfer,Business,False,False,e00da49d-dev-1,False,
TX46EE1033-ADE,953b0f1f-ea3e-472a-8f22-1604d46b7756,2025-02-07T01:31:23,86.42,EUR,Jordan,Madagascar,Online,Deposit,Individual,True,False,953b0f1f-dev-1,True,High-Risk Corridor
TX09707169-64C,febec0db-9a3a-4103-ae3c-453214348f62,2025-02-07T01:34:40,30.19,GBP,Tanzania,Spain,Mobile,Payment,Individual,True,False,febec0db-dev-3,False,
TX08961A5F-CCE,5a104129-54ae-4d1b-8ce6-424dbef59fe6,2025-02-07T01:48:18,13.98,USD,Brunei,Brunei,Mobile,Transfer,Business,False,False,5a104129-dev-1,False,
TX38E64120-B2D,df0f06cb-cb9b-4326-920e-ac174e20fd1a,2025-02-07T01:50:53,37.26,EUR,Vatican City,Nigeria,Online,Payment,Business,True,False,df0f06cb-dev-1,True,High-Risk Corridor
TX02D3ECF8-75B,cc351e4f-703e-457f-b5ab-8466b5578b00,2025-02-07T01:51:58,28.44,EUR,French Polynesia,French Polynesia,Mobile,Bill Payment,Individual,False,False,cc351e4f-dev-2,False,
TXD066208E-5B4,c72850c1-3322-468b-9be7-8aec32da81f0,2025-02-07T01:56:26,7.39,USD,Cook Islands,Laos,Mobile,Transfer,Individual,True,False,c72850c1-dev-1,True,High-Risk Corridor
TXFDDFD953-B8E,b599277f-f78e-49e8-b676-291d4e329b4b,2025-02-07T01:57:27,8.82,EUR,Greece,Greece,Mobile,Transfer,Individual,False,False,b599277f-dev-2,False,
TX3DA97808-8E4,81f7f3fb-19e4-4c6a-89c2-3e69d82c7565,2025-02-07T01:59:07,18.71,GBP,Dominican Republic,Zimbabwe,Online,Deposit,Individual,True,True,81f7f3fb-dev-1,False,
TX226D654F-0D6,119c4ea3-e180-4081-9958-a499eeea163e,2025-02-07T02:07:09,10.1,EUR,Liechtenstein,Costa Rica,ATM,Bill Payment,Business,True,False,119c4ea3-dev-1,False,
TXC9163636-2E2,fb8fe8c4-d8b4-4ead-9360-8edf382b5b86,2025-02-07T02:08:11,10.56,USD,Egypt,Egypt,Online,Transfer,Individual,False,False,fb8fe8c4-dev-1,False,
TX34D1B45A-388,614077d3-9ec4-4a48-9773-f98d550c2fe9,2025-02-07T02:09:41,58.75,USD,Ireland,Ireland,Online,Transfer,Individual,False,False,614077d3-dev-1,False,
TX1754239B-7F9,340029c3-ea11-405b-91fa-cefad6f89f7a,2025-02-07T02:11:30,7.1,GBP,Isle of Man,Isle of Man,API,Transfer,Individual,False,False,340029c3-dev-1,False,
TX4DF963FA-685,324bcc3d-9a77-41a2-bd0b-0fa28beef83f,2025-02-07T02:13:18,9.24,EUR,Portugal,Portugal,Online,Transfer,Business,False,False,324bcc3d-dev-1,False,
TXD34C477D-433,83b0b35c-dba6-4df8-b3d0-4ffb44709848,2025-02-07T02:14:39,31.7,GBP,Bosnia and Herzegovina,Bosnia and Herzegovina,Online,Withdrawal,Exchange,False,False,83b0b35c-dev-1,False,
TX08009D10-879,32399ffb-2704-4f25-8b91-b8cb6ae66582,2025-02-07T02:19:36,64.54,GBP,Norway,Serbia,Online,Transfer,Business,True,False,32399ffb-dev-1,False,
TXE441A83D-E99,44d18524-cf0e-4567-882d-7fc1be3074f8,2025-02-07T02:22:44,12.96,USD,Norfolk Island,Norfolk Island,POS,Transfer,Exchange,False,False,44d18524-dev-3,False,
TXEC9C76D2-789,bbb71494-b7e7-47d4-a9fb-832ccbe68571,2025-02-07T02:22:47,8.68,EUR,Argentina,Argentina,Mobile,Transfer,Business,False,False,bbb71494-dev-1,False,
TXD1BB5FC6-B78,60141de9-f54a-40a2-a874-66d7ad66a1bd,2025-02-07T02:26:53,35.47,GBP,Monaco,Solomon Islands,Online,Payment,Individual,True,False,60141de9-dev-2,True,High-Risk Corridor
TX474449A0-B0D,d7665cda-fe04-4059-b985-fb6217dc8eff,2025-02-07T02:33:25,22.48,EUR,China,China,Online,Transfer,Individual,False,False,d7665cda-dev-2,False,
TXCE587AFA-2C5,2acb4fbd-fbff-4a7d-b2f5-b1762c41cbd3,2025-02-07T02:43:20,20.74,USD,Vatican City,Vatican City,Mobile,Transfer,Individual,False,False,2acb4fbd-dev-1,False,
TX107866A5-D28,35845d71-b221-41c5-b5b8-6d0a864f36dd,2025-02-07T02:44:30,29.6,USD,Tonga,Bahrain,API,Transfer,Individual,True,False,35845d71-dev-1,False,
TXA6088698-823,eb4aede6-46a5-4064-9284-b528b0916fb7,2025-02-07T02:47:21,14.22,USD,Finland,Kenya,Online,Transfer,Business,True,False,eb4aede6-dev-3,True,High-Risk Corridor
TX5BB3FAD0-228,25f88c74-53ea-4919-9b48-62c2d5ff2a1f,2025-02-07T02:54:53,27.31,EUR,Estonia,Estonia,Mobile,Transfer,Individual,False,False,25f88c74-dev-3,False,
TX8EE783FE-E8B,4b9dfd58-9e5d-4c7a-85ac-c35415f00cb4,2025-02-07T02:56:00,15.42,USD,Malawi,Malawi,Mobile,Transfer,Business,False,False,4b9dfd58-dev-1,False,
TXAB4E254A-070,5d71a898-6497-4593-892e-8c93d105c8d6,2025-02-07T02:57:12,2.53,USD,Belgium,Belgium,API,Transfer,Individual,False,False,5d71a898-dev-2,False,
TX2F1943E6-790,38b77c07-80fb-4296-b3b6-a09b1beaf6ac,2025-02-07T02:57:19,7.52,GBP,Moldova,Puerto Rico,ATM,Transfer,Business,True,False,38b77c07-dev-1,False,
TXAE425C17-C87,f84f16b3-a79f-4faf-9ef5-768968f45bce,2025-02-07T02:58:01,31.36,USD,Puerto Rico,Puerto Rico,Mobile,Transfer,Individual,False,False,f84f16b3-dev-1,False,
TX8A194E0B-B29,899ca782-e323-4d1a-bc1b-dacc18e19331,2025-02-07T02:59:09,12.69,USD,Bahrain,Nigeria,Online,Transfer,Individual,True,False,899ca782-dev-2,True,High-Risk Corridor
TX5E89D1C4-A97,1bf645f6-2324-4211-8588-fc1bb2384849,2025-02-07T03:03:37,21.02,EUR,Montenegro,Montenegro,Mobile,Transfer,Exchange,False,False,1bf645f6-dev-2,False,
TXCE0B1204-352,bbb71494-b7e7-47d4-a9fb-832ccbe68571,2025-02-07T03:03:37,28.16,GBP,Argentina,Argentina,Mobile,Transfer,Individual,False,False,bbb71494-dev-1,False,
TX162CA5A2-CA3,12e89d10-2871-4733-8bed-db12ad77e82f,2025-02-07T03:10:32,13.05,USD,Australia,Australia,Online,Transfer,Exchange,False,False,12e89d10-dev-1,False,
TX7819960B-CC2,f780ef2f-664d-4922-a590-fd3cad6ecc57,2025-02-07T03:11:57,45.4,GBP,Sweden,Sweden,Mobile,Transfer,Individual,False,False,f780ef2f-dev-1,False,
TX4C4A67DD-B1D,55c3b2db-f374-490d-8274-ce40e09016b6,2025-02-07T03:13:00,11.48,GBP,Mexico,Mexico,Mobile,Deposit,Individual,False,False,55c3b2db-dev-2,False,
TX6896BDDE-E7B,ef43613c-d4aa-49a3-bed8-c56cda09dfa0,2025-02-07T03:15:30,29.71,EUR,Algeria,Netherlands,POS,Transfer,Business,True,False,ef43613c-dev-2,False,
TX277D28EC-C74,7249f62c-0898-4462-980c-b95c19d45deb,2025-02-07T03:29:51,6.58,USD,New Zealand,New Zealand,Online,Deposit,Individual,False,True,7249f62c-dev-1,False,
TX9B0B6178-D5D,55c3b2db-f374-490d-8274-ce40e09016b6,2025-02-07T03:32:23,13.71,USD,Mexico,Mexico,Online,Transfer,Business,False,False,55c3b2db-dev-2,False,
TXBBB1E866-DF8,373aedf8-431e-430f-8387-f74d1149d096,2025-02-07T03:33:29,9.18,GBP,Austria,Austria,Mobile,Transfer,Business,False,False,373aedf8-dev-1,False,
TX8CC996EE-D96,fb95d0fc-ad72-4d05-924c-de09ccea5031,2025-02-07T03:36:45,30.73,EUR,Greece,Japan,API,Transfer,Business,True,False,fb95d0fc-dev-1,False,
TX8962F133-3F5,a43e558c-2215-4f00-9fdf-0e05c0cef31b,2025-02-07T03:43:26,9.26,EUR,Chile,Zambia,ATM,Transfer,Individual,True,False,a43e558c-dev-1,False,
TX192D98AB-E87,ae7cfd14-7577-4730-868d-a4b2f613bda0,2025-02-07T03:47:32,15.59,USD,Guam,Guam,Online,Transfer,Individual,False,False,ae7cfd14-dev-1,False,
TX2F036D79-E8B,ecab3301-bc8f-4d29-adea-94930658663a,2025-02-07T03:52:58,6.07,EUR,Mexico,Moldova,Mobile,Payment,Individual,True,False,ecab3301-dev-4,False,
TX6388BECF-02F,7a8d03aa-782a-45e0-88ca-765192f5df7b,2025-02-07T03:53:37,92.45,USD,Hong Kong SAR,France,Mobile,Transfer,Individual,True,False,7a8d03aa-dev-2,True,Layering
TXC292D170-0FF,b0b862ef-6c9f-42b9-b647-8986a3917c99,2025-02-07T04:01:02,13.57,USD,Puerto Rico,Puerto Rico,API,Withdrawal,Individual,False,False,b0b862ef-dev-1,False,
TXBB83F941-167,19e9e3a4-18dc-4eb6-84fc-fcb0f5e90352,2025-02-07T04:03:58,7.36,EUR,Czech Republic,Poland,Mobile,Transfer,Business,True,False,19e9e3a4-dev-2,False,
TXFF126504-1D3,7aa061e9-336b-40cb-b1fe-ad13f280df1d,2025-02-07T04:05:11,21.98,GBP,Gibraltar,Gibraltar,Online,Transfer,Business,False,False,7aa061e9-dev-1,False,
TX1C6F945A-3FC,48769153-c688-43fe-9255-5c758d55119e,2025-02-07T04:10:16,6.42,GBP,Lesotho,Lesotho,Mobile,Transfer,Individual,False,False,48769153-dev-2,False,
TXE5C4F535-CF1,c5f8e2f8-414f-4994-a845-77805e20c957,2025-02-07T04:10:28,5.31,EUR,Samoa,Hong Kong SAR,Online,Payment,Individual,True,False,c5f8e2f8-dev-2,False,
TXD350A9BE-1CA,74e0079a-98fb-4727-9740-b2122d5245f4,2025-02-07T04:10:43,14.55,GBP,Bolivia,Bolivia,POS,Payment,Individual,False,False,74e0079a-dev-2,False,
TX697D1419-625,b0b862ef-6c9f-42b9-b647-8986a3917c99,2025-02-07T04:21:24,17.47,USD,Puerto Rico,Mozambique,API,Deposit,Individual,True,True,b0b862ef-dev-1,True,High-Risk Corridor
TX871DB2F4-61B,71a0449d-d703-462f-b5cb-e3f56a66c184,2025-02-07T04:27:41,5.59,EUR,Austria,Austria,Mobile,Deposit,Individual,False,False,71a0449d-dev-2,False,
TX3E472B83-126,1eb74b56-53ff-43a2-8a19-35014169b9fc,2025-02-07T04:28:09,10.89,USD,Northern Mariana Islands,Northern Mariana Islands,Online,Payment,Individual,False,False,1eb74b56-dev-4,False,
TX18C3B360-0FB,98049562-8972-4bbd-8ff2-b1c4e53f9644,2025-02-07T04:31:46,4.45,USD,France,France,Online,Payment,Business,False,False,98049562-dev-1,False,
TX466BDA9E-B94,a91cf192-43e8-444b-8a45-a905badf9397,2025-02-07T04:39:35,7.16,USD,Kyrgyzstan,Croatia,Branch,Deposit,Individual,True,True,a91cf192-dev-1,False,
TX822FC170-BEB,80759f1f-87e5-40fe-9da8-d6d2f8b38a8b,2025-02-07T04:44:18,7.8,EUR,Armenia,Cyprus,POS,Payment,Exchange,True,False,80759f1f-dev-4,False,
TX46859870-23B,861b4f5b-45a0-4539-ade8-370ace9e9ebd,2025-02-07T04:47:28,11.22,EUR,Namibia,Namibia,Mobile,Transfer,Individual,False,False,861b4f5b-dev-1,False,
TX83F347C5-C6D,f83b1806-ee4c-4b18-96a2-d49d9e5f8273,2025-02-07T04:47:56,16.92,EUR,Poland,Ethiopia,POS,Transfer,Individual,True,False,f83b1806-dev-5,False,
TX07D07A84-48E,0f5ae9d3-8e6e-4003-a14f-3f12cfd01cbd,2025-02-07T04:49:40,5.69,GBP,Gibraltar,Vietnam,Online,Deposit,Individual,True,False,0f5ae9d3-dev-1,True,High-Risk Corridor
TXCFA5F0DF-5FE,f2311f17-9586-4a76-8511-55ffe7a37e81,2025-02-07T04:51:02,9.36,USD,Norway,Norway,Online,Deposit,Individual,False,False,f2311f17-dev-3,False,
TX63FD8998-628,706c5c56-49e2-423d-abd3-461691b78d8e,2025-02-07T04:51:58,19.28,GBP,Gibraltar,Gibraltar,Mobile,Transfer,Individual,False,False,706c5c56-dev-2,False,
TX0D46B897-8C5,ec1a86d3-5683-4783-9575-9337549c9eb9,2025-02-07T05:02:23,26.81,USD,Australia,Australia,Mobile,Bill Payment,Business,False,False,ec1a86d3-dev-3,False,
TXD73FD7CC-F92,71299889-a01a-4992-bf9d-3e64c1a6423b,2025-02-07T05:04:01,35.8,USD,Canada,Poland,ATM,Transfer,Business,True,False,71299889-dev-1,False,
TX22F4F696-ED8,c4829b71-ae84-481c-ae0f-b5b38bae591e,2025-02-07T05:06:21,14.44,EUR,New Zealand,Micronesia,Mobile,Transfer,Business,True,False,c4829b71-dev-2,False,
TX1B0716B1-927,85319f0f-ba53-4122-b4b7-96204a73b0bf,2025-02-07T05:09:45,14.04,EUR,Zimbabwe,Zimbabwe,Online,Deposit,Individual,False,False,85319f0f-dev-3,False,
TX221BCEB6-066,6118433b-882c-4d1e-ac93-a7918b60c511,2025-02-07T05:11:23,14.45,GBP,Gibraltar,Madagascar,API,Payment,Business,True,False,6118433b-dev-1,True,High-Risk Corridor
TX9EFDF337-BB0,41f83199-f4ea-4769-8366-c189cd8d9f75,2025-02-07T05:13:07,17.06,EUR,Cayman Islands,Cayman Islands,Online,Payment,Business,False,False,41f83199-dev-2,False,
TX1C373B8B-183,30c9c51f-c80b-4af7-9315-fafa7500f785,2025-02-07T05:14:06,16.39,GBP,United Kingdom,Gibraltar,Online,Transfer,Exchange,True,False,30c9c51f-dev-1,False,
TX50343B9E-0CF,042c65ad-9883-49b1-88d3-d2cefba3091f,2025-02-07T05:27:21,7.26,EUR,Belgium,Belgium,ATM,Transfer,Business,False,False,042c65ad-dev-1,False,
TXEC63EAFA-56B,4a552ea0-8acb-4e09-8ccc-9cea109fd8ee,2025-02-07T05:35:50,24.31,USD,Denmark,Denmark,API,Transfer,Individual,False,False,4a552ea0-dev-1,False,
TX79702862-FBD,9b5f8f39-848b-44f0-b498-17354d38e415,2025-02-07T05:44:51,3.32,USD,Timor-Leste,Timor-Leste,Online,Payment,Individual,False,False,9b5f8f39-dev-1,False,
TX672B1E0D-108,9780c215-2b2b-48e9-a417-c09380a8a23d,2025-02-07T05:46:40,53.76,EUR,Malawi,Malawi,Online,Deposit,Individual,False,False,9780c215-dev-1,False,
TX81102D36-946,35845d71-b221-41c5-b5b8-6d0a864f36dd,2025-02-07T05:47:25,12.89,EUR,Tonga,China,Branch,Transfer,Business,True,False,35845d71-dev-1,True,High-Risk Corridor
TX5733DA27-348,d7665cda-fe04-4059-b985-fb6217dc8eff,2025-02-07T06:02:26,38.11,USD,China,China,Mobile,Payment,Individual,False,False,d7665cda-dev-2,False,
TXC3DCC006-F85,3e245fbf-fa69-4cd2-be23-90f3e7bbaefc,2025-02-07T06:05:52,20.92,EUR,Panama,South Korea,Mobile,Deposit,Exchange,True,True,3e245fbf-dev-1,False,
TXF52FA64C-8CE,12767d13-f093-4776-9116-d014a5850828,2025-02-07T06:06:11,107.85,EUR,Kyrgyzstan,Madagascar,Mobile,Payment,Individual,True,False,12767d13-dev-1,True,High-Risk Corridor
TX15DFC8D3-DF7,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,2025-02-07T06:06:28,10.54,GBP,Guernsey,Guernsey,Online,Transfer,Business,False,False,8a0ea57a-dev-1,False,
TX751AF25B-6C7,fbdc532e-6546-466d-89b1-cad184c9b276,2025-02-07T06:11:46,16.27,EUR,Bolivia,Bolivia,Mobile,Deposit,Business,False,False,fbdc532e-dev-1,False,
